domain,title,capability_packs,skills
01-product-strategy-portfolio,Product Strategy and Portfolio,4,14
02-discovery-research-market,"Discovery, Research and Market Intelligence",3,16
03-product-definition-requirements,Product Definition and Requirements,3,15
04-solution-architecture-systems,Solution Architecture and Systems Design,5,18
05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",4,17
06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",5,18
07-frontend-client-applications,Frontend and Client Applications,4,16
08-backend-apis-services,"Backend, APIs and Services",4,17
09-data-databases-analytics-intelligence,"Data, Databases, Analytics and Intelligence",5,20
10-security-privacy-compliance,"Security, Privacy and Compliance",5,18
11-quality-testing-validation,"Quality, Testing and Validation",3,18
12-platform-cloud-devops-cicd,"Platform, Cloud, DevOps and CI/CD",4,16
13-reliability-observability-operations,"Reliability, Observability and Operations",4,16
14-performance-capacity-scalability,"Performance, Capacity and Scalability",3,12
15-integrations-external-ecosystem,"Integrations, External Services and Ecosystems",3,10
16-growth-experimentation-monetization,"Growth, Experimentation and Monetization",4,14
17-delivery-release-change,"Delivery, Release and Change Management",3,14
18-documentation-dx-governance,"Documentation, Developer Experience and Governance",3,12
19-internationalization-localization,Internationalization and Localization,2,8
20-support-customer-operations,Support and Customer Operations,3,10
21-cost-sustainability-efficiency,"Cost, Sustainability and Operational Efficiency",2,8
22-migration-deprecation-end-of-life,"Migration, Deprecation and End of Life",2,8
